,Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID,HomeWin,HomeLastWin,VisitorLastWin,HomeWinStreak,VisitorWinStreak
4350,7/14/17,Inferno,6651,T,16,12,4,0,7975,CT,5,3,2,0,2312698/gambit-vs-ex-fury-esea-premier-season-25-europe,True,True,False,1,0
4351,7/14/17,Train,7882,CT,16,12,4,0,7978,T,13,3,10,0,2312671/guerrilla-tactics-vs-flipsid3-academy-esea-premier-season-25-north-america,True,False,False,0,0
4352,7/14/17,Train,7701,T,19,9,6,4,6134,CT,17,6,9,2,2312683/imperial-vs-kinguin-hellcase-cup-5,True,True,True,6,2
4353,7/14/17,Cobblestone,7701,T,16,9,7,0,6134,CT,7,6,1,0,2312683/imperial-vs-kinguin-hellcase-cup-5,True,True,False,7,0
4354,7/14/17,Train,6707,T,19,6,9,4,7961,CT,16,9,6,1,2312672/ronin-vs-beacon-esea-premier-season-25-north-america,True,True,True,1,1
4355,7/14/17,Inferno,7797,T,13,10,3,0,6215,CT,16,5,11,0,2312681/spartak-vs-log-binary-dragons-cup-7,False,True,False,3,0
4356,7/14/17,Train,7797,CT,7,7,0,0,6215,T,16,8,8,0,2312681/spartak-vs-log-binary-dragons-cup-7,False,False,True,0,1
4357,7/14/17,Cobblestone,7339,CT,3,3,0,0,5991,T,16,12,4,0,2312354/kpi-vs-envyus-dreamhack-open-valencia-2017,False,False,False,0,0
4358,7/14/17,Overpass,7339,CT,10,5,5,0,5991,T,16,10,6,0,2312354/kpi-vs-envyus-dreamhack-open-valencia-2017,False,False,True,0,1
4359,7/14/17,Mirage,7716,T,19,8,7,4,7660,CT,16,7,8,1,2312679/uya-vs-flash-wca-2017-china-qualifier-2,True,False,False,0,0
4360,7/14/17,Inferno,7716,T,19,10,5,4,7660,CT,16,5,10,1,2312679/uya-vs-flash-wca-2017-china-qualifier-2,True,True,False,1,0
4361,7/14/17,Cobblestone,5991,CT,16,12,4,0,7557,T,14,3,11,0,2312352/envyus-vs-misfits-dreamhack-open-valencia-2017,True,True,False,2,0
4362,7/14/17,Overpass,5991,T,6,3,3,0,7557,CT,16,12,4,0,2312352/envyus-vs-misfits-dreamhack-open-valencia-2017,False,True,False,3,0
4363,7/14/17,Train,5991,CT,22,6,9,7,7557,T,18,9,6,3,2312352/envyus-vs-misfits-dreamhack-open-valencia-2017,True,False,True,0,1
4364,7/14/17,Train,6474,T,16,6,10,0,8112,CT,11,9,2,0,2312694/mvp-project-vs-candy-camel-wca-2017-asia-pacific-open-qualifier,True,False,0,0,0
4365,7/14/17,Train,7996,CT,16,8,8,0,7882,T,9,7,2,0,2312668/down-to-frag-vs-guerrilla-tactics-esea-premier-season-25-north-america,True,True,True,1,1
4366,7/14/17,Mirage,6898,T,16,3,13,0,6899,CT,13,12,1,0,2312675/boot-vs-lgd-csgo-super-league-2017-summer-season,True,True,False,1,0
